LotArea,GrLivArea,GarageArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageCars,Neighborhood,MSZoning,BldgType,HouseStyle,KitchenQual,ExterQual,Foundation,CentralAir,PavedDrive,HeatingQC,SalePrice
8949,1454,93,8,2,2013,1981,1597,1,0,10,2,1,Edwards,RH,Duplex,2Story,TA,Gd,CBlock,N,Y,TA,383697
4433,3986,504,2,6,2016,2009,825,1,1,11,1,3,OldTown,RL,2fmCon,2Story,Ex,Gd,BrkTil,Y,N,Ex,587981
7311,3454,6,6,6,2002,2017,1959,3,1,8,2,2,CollgCr,RM,1Fam,1.5Fin,Gd,TA,BrkTil,Y,N,Ex,602125
7051,2169,943,3,3,1959,1951,420,3,0,8,0,3,Somerst,FV,Duplex,1Story,Gd,Ex,BrkTil,Y,N,TA,350462
8420,1849,599,8,4,2000,2003,559,2,0,6,0,1,OldTown,RM,1Fam,1.5Fin,TA,TA,PConc,Y,Y,Ex,396516
3184,3219,693,8,6,1981,1958,1704,2,0,3,2,2,CollgCr,RM,1Fam,2Story,Ex,TA,CBlock,N,Y,Gd,609270
6555,2074,190,1,5,2014,2018,1196,1,0,11,2,2,Somerst,RL,Duplex,1.5Fin,TA,Gd,CBlock,N,Y,TA,325113
5385,2723,456,2,1,1995,1959,55,3,1,3,1,2,OldTown,RH,2fmCon,1.5Fin,TA,Ex,BrkTil,Y,N,TA,380132
14309,3072,719,4,5,2021,1952,89,3,1,9,2,1,NAmes,RH,Duplex,1Story,Ex,Gd,BrkTil,N,N,TA,458793
8396,3886,385,1,8,1959,1980,1294,1,0,7,2,3,OldTown,RL,Duplex,1.5Fin,Gd,TA,CBlock,N,Y,Ex,584597
13096,3638,802,3,4,2011,1953,712,3,1,11,2,1,CollgCr,FV,2fmCon,1Story,Ex,TA,PConc,N,N,Ex,522978
10666,3499,865,4,7,2020,1956,1467,1,0,11,0,1,Edwards,FV,Duplex,1Story,Ex,Gd,BrkTil,N,Y,Ex,577128
11274,3755,277,3,6,2003,1965,278,1,1,5,0,1,Somerst,RH,1Fam,1.5Fin,Ex,TA,BrkTil,N,Y,Ex,527319
4558,1558,978,5,3,1988,1965,504,3,0,6,1,0,CollgCr,FV,2fmCon,1Story,Ex,TA,BrkTil,Y,Y,Gd,280381
9849,2457,447,7,3,1978,1962,492,3,0,8,1,2,Somerst,RL,1Fam,2Story,Gd,TA,CBlock,N,Y,TA,454498
4047,3052,826,8,6,1965,2010,1812,2,0,10,1,2,NAmes,RM,1Fam,2Story,TA,Gd,BrkTil,Y,N,TA,602188
4747,1348,944,8,3,1993,1994,434,1,1,11,0,0,Somerst,RH,2fmCon,1.5Fin,Gd,TA,BrkTil,Y,N,Gd,302535
11167,1462,51,2,2,2016,2017,1699,3,0,5,2,1,Somerst,RL,2fmCon,2Story,TA,Ex,CBlock,Y,N,Ex,287857
11998,2325,404,1,2,2018,1973,929,2,0,11,0,0,Edwards,RH,2fmCon,1Story,Ex,Ex,BrkTil,Y,N,Ex,346925
2189,3647,395,6,2,2019,2009,961,1,0,10,2,2,OldTown,RL,2fmCon,1Story,Gd,Ex,CBlock,Y,Y,TA,586885
4734,3019,778,1,5,1966,2009,209,2,0,5,2,2,NAmes,RM,2fmCon,2Story,TA,Ex,CBlock,N,Y,Ex,385954
5005,3070,755,6,8,1991,1954,666,2,0,3,2,2,CollgCr,RH,1Fam,1.5Fin,Ex,TA,BrkTil,Y,Y,TA,521050
6658,3427,693,7,6,1989,1981,1777,1,0,6,2,2,OldTown,RM,Duplex,2Story,Ex,Ex,CBlock,Y,Y,Gd,610548
3899,3854,210,9,6,1963,1957,768,2,0,10,1,3,CollgCr,RL,1Fam,2Story,TA,TA,CBlock,Y,N,TA,660443
9734,2821,889,1,7,1981,1996,1363,2,0,11,1,2,NAmes,FV,2fmCon,1.5Fin,Gd,TA,CBlock,Y,N,TA,427165
3267,2601,709,7,1,1992,1951,436,1,1,7,2,3,Somerst,RL,Duplex,2Story,TA,Ex,BrkTil,N,Y,Ex,470003
3528,3626,269,4,3,1996,2014,214,1,0,11,0,1,NAmes,RM,Duplex,2Story,TA,Ex,BrkTil,Y,Y,TA,502306
13394,1387,544,9,3,1972,2020,1189,3,0,7,1,1,Somerst,RM,2fmCon,2Story,Gd,Gd,BrkTil,Y,N,Gd,385416
5556,1244,613,4,5,2009,1991,1137,2,0,4,1,1,OldTown,RH,2fmCon,1.5Fin,Gd,TA,BrkTil,N,Y,TA,281127
5890,2824,844,2,7,1961,1969,1190,1,1,7,2,0,Somerst,RH,Duplex,1Story,Ex,TA,PConc,Y,N,Ex,440924
10838,3430,281,1,7,2007,1960,283,1,1,8,0,1,OldTown,RM,2fmCon,1Story,Ex,Gd,PConc,Y,N,TA,434741
13080,1941,397,7,6,1971,1951,884,1,0,9,1,3,Edwards,RM,1Fam,1Story,Gd,Ex,BrkTil,N,Y,Gd,389467
7393,3179,748,7,1,2013,1980,1262,2,0,7,2,3,Edwards,RH,2fmCon,1Story,TA,Ex,BrkTil,N,N,TA,582727
12627,1748,215,3,1,1961,1959,1436,3,1,3,1,0,NAmes,RL,2fmCon,1Story,Gd,Gd,CBlock,N,N,Ex,330117
10792,3117,431,5,5,1973,2008,1440,1,0,8,0,2,Somerst,RH,2fmCon,1.5Fin,Ex,TA,PConc,Y,Y,Gd,528810
12555,3826,320,7,3,2021,1956,752,3,0,3,1,3,Somerst,RL,1Fam,1.5Fin,Gd,TA,CBlock,N,Y,TA,644667
12253,675,813,8,4,1969,1986,1604,3,0,8,0,2,Somerst,RL,Duplex,1Story,Gd,Gd,BrkTil,Y,Y,Gd,300366
10433,1065,638,9,7,1952,1962,545,3,0,7,1,2,NAmes,RH,2fmCon,2Story,Gd,Ex,CBlock,N,N,Gd,299605
12233,3717,492,1,4,2020,1975,903,3,0,10,2,1,CollgCr,RH,2fmCon,2Story,Ex,TA,BrkTil,N,N,TA,524480
13016,3318,950,9,1,1972,1952,749,3,1,11,1,0,OldTown,FV,2fmCon,1.5Fin,Gd,Gd,CBlock,Y,N,Ex,583383
9513,2187,605,6,7,2008,1988,34,1,0,3,1,1,OldTown,RH,Duplex,1Story,TA,TA,PConc,Y,N,TA,359691
4612,1908,585,6,8,1982,1959,1426,2,1,6,2,3,NAmes,FV,1Fam,2Story,Gd,Ex,CBlock,N,Y,Ex,431894
9041,761,127,7,1,1995,1986,569,2,0,10,0,3,OldTown,RL,1Fam,1Story,TA,Gd,PConc,Y,Y,TA,259791
11555,1030,73,9,3,1984,1972,1148,1,0,5,2,0,CollgCr,FV,Duplex,2Story,Gd,Gd,CBlock,N,N,Gd,324484
8235,2377,475,7,1,1971,1969,1321,3,0,4,2,2,Somerst,RM,Duplex,1Story,Ex,Gd,PConc,N,N,Gd,471775
7486,1894,451,7,8,1983,1983,1719,1,1,10,2,1,NAmes,RM,2fmCon,1Story,TA,TA,CBlock,N,Y,Ex,442866
9099,2206,461,3,5,1985,1953,1738,2,0,8,1,3,CollgCr,FV,2fmCon,1.5Fin,TA,Ex,CBlock,Y,N,TA,404992
11670,3438,907,9,4,1975,1981,1852,3,0,5,1,3,OldTown,FV,2fmCon,1Story,Ex,Ex,CBlock,N,N,Gd,679120
12748,1720,437,4,7,1990,1991,1213,2,1,8,0,2,Somerst,RM,Duplex,1Story,TA,TA,PConc,N,N,TA,327282
2775,1447,255,6,4,1959,1967,669,1,1,9,0,2,NAmes,FV,2fmCon,2Story,Gd,TA,PConc,Y,N,TA,327423
14206,1084,447,7,1,1956,2001,1904,2,0,5,0,0,Somerst,FV,2fmCon,1.5Fin,Gd,Gd,BrkTil,Y,Y,TA,324087
10226,3362,101,9,5,1991,1950,1088,1,0,5,0,2,Edwards,RL,Duplex,1Story,Gd,TA,PConc,Y,N,Gd,591043
5152,2120,558,3,8,1960,1953,1962,2,1,6,1,1,Edwards,RH,1Fam,1Story,TA,Gd,PConc,Y,N,Gd,416225
12147,3855,676,2,6,2021,1995,118,1,1,9,2,0,NAmes,FV,Duplex,2Story,Ex,Ex,BrkTil,N,Y,TA,479379
3585,2849,969,2,1,2020,1980,814,2,0,10,1,0,Somerst,FV,1Fam,2Story,Ex,Ex,BrkTil,N,Y,TA,404616
5943,1655,767,2,1,2021,2015,1488,1,0,3,2,1,CollgCr,FV,Duplex,1.5Fin,Ex,Gd,CBlock,N,Y,Gd,294250
9555,3691,936,9,6,1955,1999,246,1,0,6,1,0,CollgCr,RL,Duplex,1.5Fin,Ex,TA,PConc,N,Y,Ex,578952
5073,2251,282,8,8,1995,1970,265,2,0,7,2,3,OldTown,RH,Duplex,1Story,TA,Ex,CBlock,Y,N,Gd,432330
3021,3707,937,9,5,1954,1970,1611,2,1,5,2,0,Edwards,RM,Duplex,1.5Fin,Gd,Ex,CBlock,Y,N,Ex,669027
13653,3175,759,9,5,1994,2015,702,3,0,10,1,3,Somerst,RL,Duplex,1.5Fin,Ex,Ex,PConc,N,N,TA,556957
12805,3120,203,1,2,1963,2001,1341,1,1,11,0,1,Somerst,FV,1Fam,2Story,Gd,TA,CBlock,N,N,Ex,468923
5843,3076,85,9,7,1983,1985,733,2,1,5,1,1,OldTown,RL,2fmCon,1.5Fin,TA,TA,CBlock,Y,Y,Ex,555496
9989,2581,323,1,4,2005,2020,199,1,1,6,2,2,CollgCr,RL,1Fam,1Story,TA,Gd,CBlock,N,N,TA,330964
11692,1031,924,5,1,2007,1964,1184,2,0,7,0,1,Somerst,FV,2fmCon,1.5Fin,TA,Ex,PConc,Y,Y,Gd,257107
14990,1731,163,4,3,1999,1950,1977,1,1,10,2,3,Edwards,RH,1Fam,1Story,Gd,Ex,CBlock,Y,N,TA,408841
8873,2493,876,8,1,2016,1965,312,3,1,4,1,2,Somerst,RL,2fmCon,1Story,Gd,TA,PConc,N,Y,Ex,458883
7675,2197,56,5,1,2005,1959,1080,3,1,6,1,1,OldTown,RM,2fmCon,2Story,Gd,Ex,CBlock,Y,Y,Gd,389476
2161,3870,205,9,3,1969,1988,1845,2,0,5,1,2,Edwards,RM,2fmCon,2Story,Ex,Ex,PConc,Y,Y,Gd,691811
6297,2045,907,1,6,1962,1960,1292,1,1,7,0,1,CollgCr,RM,2fmCon,2Story,Ex,TA,PConc,Y,N,Gd,327257
12173,3665,428,8,4,1994,1979,1825,1,1,8,1,0,CollgCr,RL,1Fam,1Story,Ex,TA,BrkTil,Y,N,Ex,647003
2995,1937,147,6,2,1980,1989,405,3,1,5,2,1,Edwards,RL,Duplex,2Story,Gd,Ex,BrkTil,N,N,Ex,357478
13534,870,300,1,5,2019,1982,1322,1,1,7,1,2,Edwards,FV,1Fam,1Story,Ex,Gd,PConc,N,N,Gd,219794
14743,908,790,2,2,1990,1956,1807,1,1,7,2,2,NAmes,RL,Duplex,2Story,Ex,Gd,PConc,N,Y,TA,230521
9629,1906,957,4,1,1995,1955,73,2,1,4,0,0,Somerst,RM,Duplex,2Story,Ex,Gd,BrkTil,Y,Y,TA,302605
13990,2401,981,5,1,1951,1999,1369,3,1,9,0,2,NAmes,RM,1Fam,2Story,Ex,TA,PConc,N,N,TA,447979
11467,1970,289,1,7,1956,2001,551,1,1,7,2,1,Edwards,FV,1Fam,2Story,Gd,Gd,PConc,Y,N,TA,272708
3016,1116,20,7,3,1961,2021,536,3,1,8,0,0,NAmes,RL,1Fam,1.5Fin,TA,Gd,CBlock,Y,Y,TA,249103
9869,570,946,4,6,2013,1998,868,3,1,5,2,3,Somerst,RL,2fmCon,2Story,TA,TA,CBlock,N,N,Gd,201580
8439,583,136,1,3,1992,1970,1804,1,0,7,0,0,Edwards,RM,Duplex,1.5Fin,Gd,Ex,CBlock,Y,Y,Gd,155655
9892,2756,969,6,1,2000,2017,168,1,0,4,2,1,Edwards,RM,Duplex,1.5Fin,Gd,TA,CBlock,Y,N,TA,452641
8863,758,368,9,2,1969,1984,948,1,0,10,0,3,NAmes,RL,1Fam,1.5Fin,TA,Ex,PConc,N,N,Gd,311097
9916,3810,521,9,7,1962,1950,1457,2,1,4,1,3,OldTown,FV,2fmCon,1.5Fin,Gd,TA,CBlock,N,Y,Ex,678814
10529,1825,819,4,2,1996,1965,250,3,0,9,2,0,Edwards,FV,2fmCon,2Story,Ex,TA,PConc,N,N,TA,273725
2878,3803,556,7,4,1975,1980,1842,3,0,7,0,2,NAmes,RM,1Fam,2Story,TA,Ex,BrkTil,Y,N,TA,659281
11268,1431,435,1,6,2007,2008,1282,1,0,10,2,3,NAmes,FV,1Fam,2Story,Gd,Ex,PConc,Y,N,TA,269128
6887,2829,760,9,8,1971,1967,604,1,0,8,2,2,CollgCr,RL,2fmCon,1.5Fin,Gd,Ex,CBlock,Y,N,Gd,532440
14185,893,29,1,1,2008,1986,1023,2,1,7,2,0,NAmes,FV,1Fam,1.5Fin,TA,TA,CBlock,Y,Y,TA,177486
6859,2965,447,9,6,1964,1959,963,1,0,5,1,3,NAmes,RM,Duplex,1Story,TA,Gd,CBlock,Y,N,Ex,568790
8331,3777,224,6,5,1994,1998,1006,3,0,3,1,0,NAmes,RH,1Fam,1.5Fin,Gd,Ex,CBlock,Y,Y,Ex,606540
10571,3835,385,7,5,1996,1972,1637,3,0,5,1,0,Somerst,FV,1Fam,1Story,TA,TA,CBlock,Y,N,TA,654669
10684,1834,688,4,2,1980,1968,1128,2,1,3,0,0,CollgCr,FV,2fmCon,1.5Fin,Ex,Gd,CBlock,Y,Y,TA,333580
9208,3406,607,9,3,1978,1991,1013,3,1,4,1,1,CollgCr,RH,1Fam,1.5Fin,TA,TA,CBlock,N,N,Ex,592368
7276,2429,428,6,3,1990,1956,1014,3,1,3,2,1,Somerst,RH,2fmCon,1.5Fin,Ex,Ex,BrkTil,Y,N,Ex,448689
4062,2220,528,6,2,1967,1987,1779,1,1,5,1,0,Somerst,RL,Duplex,1Story,TA,Gd,CBlock,N,N,TA,464286
14076,1125,27,6,4,1959,1990,341,1,1,6,1,0,OldTown,RM,Duplex,1Story,Gd,Ex,BrkTil,Y,Y,Ex,225479
2064,3650,125,4,1,1958,2011,717,2,1,11,0,2,Edwards,RL,1Fam,1.5Fin,Ex,TA,BrkTil,N,N,Gd,562536
10006,2392,812,7,8,2001,1992,320,1,0,10,0,1,Somerst,RL,Duplex,2Story,Ex,Gd,CBlock,N,Y,Gd,432454
4568,3913,784,2,5,1976,2019,547,3,1,11,1,1,CollgCr,RH,2fmCon,1.5Fin,TA,Gd,PConc,Y,N,TA,532698
7463,2336,498,2,2,1975,1960,407,1,1,9,1,3,Somerst,RM,Duplex,2Story,Gd,Ex,BrkTil,N,N,Ex,358813
4027,1061,186,6,6,1978,1997,200,3,0,5,1,1,CollgCr,RH,2fmCon,2Story,Gd,Ex,PConc,Y,N,TA,215818
4695,3379,653,9,3,1969,1951,1554,3,0,6,0,1,OldTown,RM,Duplex,2Story,Ex,TA,PConc,Y,Y,TA,618980
11687,3666,371,3,1,2017,1973,1906,3,1,9,1,3,OldTown,RL,2fmCon,1.5Fin,Ex,Gd,CBlock,Y,N,Gd,600783
7258,2293,137,7,5,1964,1976,1287,2,1,11,2,0,OldTown,RH,1Fam,1.5Fin,TA,Ex,CBlock,N,Y,Gd,433161
7618,1440,993,9,4,2001,1964,1537,3,1,8,1,2,NAmes,RL,1Fam,1Story,Gd,Ex,CBlock,N,Y,TA,398605
8736,3922,973,9,2,1950,1951,1053,1,1,5,0,3,CollgCr,RM,2fmCon,2Story,Ex,TA,BrkTil,Y,N,Ex,677957
2391,2609,336,3,1,1968,1959,797,3,1,10,0,2,Somerst,RH,1Fam,1.5Fin,Gd,TA,PConc,N,N,TA,398114
14706,1665,740,1,6,1975,2000,1323,1,0,3,0,1,Somerst,RM,Duplex,2Story,Ex,Ex,PConc,Y,Y,TA,273402
14666,2365,213,2,5,2008,2010,448,1,0,11,0,0,OldTown,RL,2fmCon,1.5Fin,Ex,TA,CBlock,N,Y,TA,352515
7892,3281,785,8,4,1953,1967,1626,3,1,7,0,0,NAmes,FV,Duplex,1.5Fin,Ex,Ex,PConc,N,Y,Ex,588198
5561,2391,290,7,3,2011,2016,165,2,1,4,0,3,Edwards,RH,Duplex,1Story,Ex,Ex,PConc,N,N,TA,419641
12470,3682,943,1,1,2006,1969,882,3,1,5,2,2,NAmes,RL,Duplex,1Story,TA,Gd,CBlock,Y,Y,Gd,510107
8184,2139,569,3,6,2009,1984,1143,2,0,3,0,2,Somerst,FV,Duplex,1.5Fin,Ex,TA,PConc,N,N,Ex,381889
5099,2050,370,8,8,1984,2016,768,2,0,9,1,3,OldTown,RL,1Fam,1Story,Ex,TA,PConc,Y,Y,TA,441560
8278,1281,529,7,2,1984,1964,286,2,0,9,2,0,CollgCr,RL,1Fam,1Story,Ex,TA,CBlock,N,N,Gd,256240
10392,2194,691,5,5,1989,1967,291,2,1,10,1,1,NAmes,RM,Duplex,1Story,Ex,Ex,BrkTil,N,N,TA,363820
5104,3728,669,3,7,1970,2009,648,1,1,5,1,1,OldTown,RH,2fmCon,1Story,TA,Gd,PConc,Y,Y,Ex,541516
9215,3086,767,7,8,1976,1959,1282,3,1,3,0,2,Somerst,RL,2fmCon,1.5Fin,TA,Ex,CBlock,Y,N,TA,551813
14790,1096,548,5,7,1996,1992,1648,2,0,8,1,0,OldTown,FV,2fmCon,2Story,TA,TA,CBlock,N,Y,TA,277580
4454,2556,295,1,3,1962,2021,950,1,1,6,0,0,Edwards,RM,1Fam,2Story,TA,Ex,BrkTil,Y,Y,Gd,377871
13837,2823,773,5,6,2003,1991,662,1,0,11,0,2,CollgCr,FV,1Fam,1.5Fin,TA,TA,BrkTil,N,N,TA,478684
10996,2774,590,3,6,1955,1977,822,3,0,3,1,1,NAmes,FV,1Fam,1Story,TA,TA,BrkTil,N,N,TA,409739
4731,2733,418,2,8,1980,2006,263,2,0,3,1,1,Somerst,FV,2fmCon,1.5Fin,Gd,Gd,CBlock,Y,N,Ex,384596
12965,3138,665,3,3,1982,1962,1421,1,0,6,0,0,NAmes,FV,Duplex,1Story,TA,Gd,CBlock,N,Y,TA,480488
10154,3787,360,4,5,1958,1968,229,2,0,4,2,2,OldTown,RL,1Fam,2Story,TA,TA,CBlock,N,Y,TA,522935
11762,2980,858,1,5,2018,1988,633,1,0,9,0,2,OldTown,RH,2fmCon,1.5Fin,TA,TA,CBlock,Y,Y,TA,434163
7056,3116,157,4,5,1993,2002,236,2,1,10,1,0,Somerst,RM,2fmCon,1.5Fin,Ex,Gd,BrkTil,Y,Y,TA,449332
10110,3203,74,9,1,2007,2008,908,1,1,5,0,0,CollgCr,RH,Duplex,1Story,TA,Ex,CBlock,Y,N,Gd,570445
12882,855,371,1,2,1987,1986,1163,3,0,3,2,3,NAmes,RM,1Fam,1Story,TA,Gd,PConc,Y,N,Ex,181354
5840,3390,919,7,3,1993,1960,1510,3,0,10,2,1,CollgCr,RM,1Fam,1Story,TA,Ex,CBlock,N,N,TA,585774
3028,2540,889,8,7,2017,1965,1226,1,0,5,0,2,OldTown,RL,1Fam,1.5Fin,Gd,TA,PConc,N,Y,TA,492365
9385,891,566,9,4,1981,1950,651,3,0,8,1,0,CollgCr,RL,Duplex,1.5Fin,TA,Gd,CBlock,Y,N,Ex,288486
2502,1078,717,7,5,1952,1971,1101,3,1,6,1,0,NAmes,RL,1Fam,1Story,Ex,Gd,BrkTil,N,N,Ex,273537
8910,3846,726,9,7,2008,2007,715,1,1,7,2,1,CollgCr,RH,Duplex,1.5Fin,TA,Ex,BrkTil,N,Y,TA,634590
14685,2140,520,3,2,1961,1997,1085,3,0,3,2,0,OldTown,RM,2fmCon,1Story,Ex,Ex,BrkTil,Y,Y,Ex,360991
11062,2967,105,1,4,1995,1996,1958,3,0,10,1,2,CollgCr,FV,2fmCon,2Story,TA,TA,BrkTil,Y,Y,Gd,488506
8938,2508,829,2,1,1981,2003,776,2,1,7,2,2,CollgCr,RM,1Fam,1Story,TA,Ex,CBlock,N,N,Gd,379122
6488,2223,366,1,8,1980,1968,124,2,1,8,2,1,Somerst,FV,Duplex,2Story,Gd,TA,PConc,Y,Y,Gd,299160
2206,663,401,2,3,1962,2013,278,2,1,10,0,2,NAmes,FV,Duplex,1Story,Ex,Ex,CBlock,Y,Y,Ex,154108
7134,3326,756,9,2,1998,2015,1939,3,1,7,1,1,Somerst,FV,Duplex,2Story,Ex,Ex,BrkTil,Y,N,Gd,635294
7977,1137,818,5,7,2018,1965,1199,1,1,8,1,3,NAmes,RL,Duplex,1Story,TA,Ex,BrkTil,N,Y,Gd,292469
9721,3754,102,4,8,2013,1988,1570,2,0,8,0,2,Edwards,FV,1Fam,2Story,Gd,TA,BrkTil,N,N,Ex,594742
9035,3881,786,2,2,1975,1970,1306,2,1,9,2,2,Edwards,RM,Duplex,1Story,TA,Ex,BrkTil,Y,Y,Gd,570199
3484,2564,324,3,3,1998,1994,993,2,0,3,0,3,OldTown,RM,2fmCon,1.5Fin,Ex,TA,CBlock,Y,N,Ex,435993
9858,2993,372,9,3,1972,2014,1468,3,1,7,2,1,Edwards,RL,Duplex,1.5Fin,Ex,Gd,CBlock,N,N,Gd,580579
2863,669,337,3,6,2015,1972,867,3,1,8,1,2,CollgCr,RM,Duplex,2Story,TA,Ex,BrkTil,Y,N,Ex,201556
4790,3851,890,8,7,1952,1991,1077,3,1,5,0,1,NAmes,FV,1Fam,1Story,Gd,Ex,PConc,N,N,Gd,641127
9408,839,32,1,5,1970,1959,385,1,0,11,1,0,OldTown,RH,2fmCon,2Story,TA,TA,BrkTil,Y,N,Ex,151678
10755,1225,107,5,7,1995,1961,557,1,0,11,2,2,OldTown,FV,Duplex,1Story,TA,Gd,BrkTil,Y,N,Ex,248768
7116,2433,421,2,8,1988,1990,1770,3,1,9,1,3,Edwards,RH,Duplex,1Story,TA,Ex,PConc,Y,Y,Gd,421006
14383,1534,268,4,3,1987,2005,1550,1,0,6,0,0,CollgCr,RL,2fmCon,1Story,Ex,Ex,CBlock,Y,N,Gd,302247
8019,2145,944,2,2,1977,1955,916,3,0,7,1,2,OldTown,RL,1Fam,1Story,Ex,Gd,CBlock,N,N,Gd,338258
3757,632,72,3,5,2018,1986,1762,3,0,7,1,1,CollgCr,RH,Duplex,1Story,TA,TA,CBlock,Y,N,TA,214517
9574,3448,857,5,7,1994,1975,235,2,1,9,0,2,Somerst,FV,2fmCon,1.5Fin,Ex,Ex,CBlock,Y,Y,Gd,530884
8374,3187,180,2,3,2011,2013,184,1,0,6,1,2,OldTown,RH,1Fam,1.5Fin,Ex,Gd,CBlock,Y,N,Ex,429087
8892,3719,896,9,8,1966,1951,268,2,0,10,1,3,OldTown,RM,1Fam,1.5Fin,TA,Ex,PConc,N,Y,TA,636195
3678,1322,779,8,4,1989,1950,1214,2,0,5,2,3,CollgCr,RL,1Fam,1.5Fin,Ex,Ex,CBlock,N,N,Gd,356082
5242,1453,151,5,7,1984,1952,246,3,1,4,0,1,NAmes,FV,2fmCon,1Story,Gd,TA,PConc,Y,Y,TA,277437
6636,2626,511,1,4,2006,1952,1633,1,0,11,1,0,CollgCr,RL,Duplex,1Story,Gd,Ex,CBlock,Y,N,TA,414292
3059,845,896,5,3,1974,1978,241,2,1,3,0,0,NAmes,RH,1Fam,1.5Fin,Gd,Ex,PConc,N,Y,TA,184161
8668,1108,67,4,6,1964,1971,280,2,0,7,2,0,NAmes,RH,2fmCon,1Story,TA,Ex,CBlock,Y,Y,TA,215793
11914,3820,902,9,7,1968,1963,1257,1,0,7,2,0,OldTown,RM,Duplex,1Story,Gd,Gd,BrkTil,N,N,Ex,653262
13506,1138,371,2,2,2000,2006,423,2,0,9,1,0,OldTown,RL,1Fam,1.5Fin,Gd,Gd,BrkTil,Y,Y,TA,185846
5157,1547,347,7,5,1962,2012,149,2,0,5,0,3,NAmes,RH,Duplex,1Story,Gd,TA,PConc,Y,Y,Ex,308042
7915,1994,996,2,6,1974,1994,732,2,0,8,1,2,OldTown,RH,Duplex,1Story,Ex,Ex,CBlock,N,Y,Ex,311021
12817,1724,708,3,5,1972,1981,1667,1,1,8,0,3,OldTown,RL,Duplex,1Story,Gd,Ex,BrkTil,N,N,TA,366344
12921,2678,806,3,5,2008,1953,1167,1,1,8,0,2,OldTown,RH,2fmCon,1.5Fin,TA,TA,CBlock,N,Y,TA,421577
11789,2903,31,8,1,1965,1955,373,3,0,9,1,1,OldTown,RH,Duplex,1.5Fin,TA,Gd,CBlock,N,Y,Ex,494894
13252,3491,944,2,8,2000,1987,1206,2,0,7,2,1,Somerst,RM,1Fam,2Story,Ex,TA,BrkTil,Y,N,TA,508598
4693,649,926,1,3,1959,1971,91,1,1,8,0,3,OldTown,RL,2fmCon,1.5Fin,Gd,Ex,BrkTil,Y,N,Gd,136678
